AvgSpotLen_l	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	host_tissue_sampled_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	geo_loc_name_s	host_s	lat_lon_s
304	SAMN02999587	SRX684715	2	1	SRR1556453	SRS687833	3726.Normal.Right	3726.Normal.Right_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
310	SAMN02999588	SRX684723	3	2	SRR1556454	SRS687840	3726.Polyp.Right	3726.Polyp.Right_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
273	SAMN02999589	SRX684724	1	1	SRR1556455	SRS687841	3728.Normal.Right	3728.Normal.Right_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
426	SAMN02999590	SRX684725	7	4	SRR1556456	SRS687842	3728.Tumor.Right	3728.Tumor.Right_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
337	SAMN02999591	SRX684726	4	2	SRR1556457	SRS687843	3731.Normal.Right	3731.Normal.Right_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
328	SAMN02999592	SRX684728	2	1	SRR1556458	SRS687845	3731.Tumor.Right	3731.Tumor.Right_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
279	SAMN02999593	SRX684738	2	1	SRR1556459	SRS687855	3735.Normal.Left	3735.Normal.Left_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
431	SAMN02999594	SRX684739	7	4	SRR1556460	SRS687856	3735.Tumor.Left	3735.Tumor.Left_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
270	SAMN02999595	SRX684740	1	1	SRR1556461	SRS687857	3749.Normal.Left	3749.Normal.Left_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
399	SAMN02999596	SRX684742	6	4	SRR1556462	SRS687859	3749.Tumor.Left	3749.Tumor.Left_colon	AMPLICON	PRJNA258534	MIMARKS.survey	public	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	2014-08-23	human gut metagenome	LS454	2014-09-01	SRP045685	2012	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
