"measure","study","high_N","high_Y","low_N","low_Y"
"Acidaminococcaceae_unclassified","baxter",86,85,86,113
"Acidaminococcaceae_unclassified","brim",1,0,5,6
"Acidaminococcaceae_unclassified","hale",38,19,435,195
"Acidaminococcaceae_unclassified","zeller",22,21,28,16
"Acidaminococcus","baxter",70,81,102,117
"Acidaminococcus","brim",3,1,3,5
"Acidaminococcus","hale",28,12,445,202
"Acidaminococcus","zeller",25,17,25,20
"Actinobacteria_unclassified","baxter",43,52,129,146
"Actinobacteria_unclassified","brim",0,1,6,5
"Actinobacteria_unclassified","hale",12,3,461,211
"Actinobacteria_unclassified","zeller",20,15,30,22
"Actinomyces","baxter",90,95,82,103
"Actinomyces","brim",4,2,2,4
"Actinomyces","hale",6,3,467,211
"Actinomyces","zeller",27,16,23,21
"Actinomycetales_unclassified","baxter",37,40,135,158
"Actinomycetales_unclassified","brim",1,5,5,1
"Actinomycetales_unclassified","hale",3,1,470,213
"Actinomycetales_unclassified","zeller",14,16,36,21
"Akkermansia","baxter",84,101,88,97
"Akkermansia","brim",4,2,2,4
"Akkermansia","hale",55,23,418,191
"Akkermansia","zeller",25,18,25,19
"Alistipes","baxter",80,105,92,93
"Alistipes","brim",2,4,4,2
"Alistipes","hale",236,107,237,107
"Alistipes","zeller",24,19,26,18
"Allisonella","baxter",20,25,152,173
"Allisonella","brim",1,0,5,6
"Allisonella","hale",4,2,469,212
"Allisonella","zeller",20,13,30,24
"Anaerococcus","baxter",29,32,143,166
"Anaerococcus","brim",0,1,6,5
"Anaerococcus","hale",4,2,469,212
"Anaerococcus","zeller",16,11,34,26
"Anaerofustis","baxter",79,106,93,92
"Anaerofustis","brim",0,2,6,4
"Anaerofustis","hale",35,9,438,205
"Anaerofustis","zeller",27,16,23,21
"Anaerotruncus","baxter",74,87,98,111
"Anaerotruncus","brim",2,4,4,2
"Anaerotruncus","hale",164,76,309,138
"Anaerotruncus","zeller",24,19,26,18
"Arcobacter","baxter",0,1,172,197
"Arcobacter","brim",1,1,5,5
"Arcobacter","hale",1,0,472,214
"Arcobacter","zeller",1,0,49,37
"Atopobium","baxter",39,55,133,143
"Atopobium","brim",1,1,5,5
"Atopobium","hale",2,0,471,214
"Atopobium","zeller",23,16,27,21
"Bacteria_unclassified","baxter",82,103,90,95
"Bacteria_unclassified","brim",2,4,4,2
"Bacteria_unclassified","hale",239,104,234,110
"Bacteria_unclassified","zeller",25,18,25,19
"Bacteroidales_unclassified","baxter",69,98,103,100
"Bacteroidales_unclassified","brim",3,3,3,3
"Bacteroidales_unclassified","hale",227,116,246,98
"Bacteroidales_unclassified","zeller",23,20,27,17
